LC_germline	CDRH3_length	count
IGKV1-9	9	42
IGKV1D-39	9	3
IGKV1D-33	9	1
IGKV3-20	9	19
IGKV1-33	15	3
IGLV2-14	19	1
IGLV7-46	10	1
IGKV3-20	10	9
IGKV3-20	7	2
IGKV3-15	18	1
IGKV1-17	15	1
IGLV2-23	15	1
IGKV1-9	7	4
IGLV6-57	10	4
IGKV1-39	11	2
IGLV2-8	10	5
IGKV1-33	10	6
IGLV2-23	17	1
IGKV1-33	8	9
IGLV2-23	9	1
IGLV1-40	9	2
IGKV1-9	8	3
IGKV1-27	9	1
IGKV1-5	16	2
IGKV1-9	11	1
IGKV3-15	9	6
IGKV1-6	8	1
IGKV1-33	9	10
IGLV2-14	23	6
IGLV2-23	21	6
IGKV3-15	7	3
IGLV2-23	14	1
IGKV1-33	11	7
IGLV1-40	10	1
IGKV4-1	21	1
IGLV2-14	15	1
IGLV2-14	10	1
IGKV1-NL1	9	1
IGLV2-14	9	2
IGKV1-33	16	1
IGKV1-9	10	5
IGLV1-40	15	1
IGKV3-15	12	2
IGKV2D-30	12	1
IGLV3-21	10	1
IGKV1-39	12	1
IGKV1D-12	9	1
IGKV3-11	8	1
IGKV1-39	10	1
IGKV1-39	14	1
IGLV2-14	13	1
IGKV1-5	17	1
IGLV4-69	10	1
IGLV8-61	10	1
IGKV1-33	6	3
IGLV2-23	10	1
IGLV2-8	16	1
IGKV3-11	10	1
IGLV9-49	15	1
IGLV1-40	13	1
IGLV2-8	18	1
IGLV3-25	11	1
IGKV3-11	14	1
IGKV1-12	9	3
IGLV1-40	14	3
IGLV1-50	14	1
IGKV3-20	19	1
IGLV1-44	16	1
IGKV1-5	4	2
IGKV1D-12	11	1
IGLV1-40	11	1
IGLV1-51	11	1
IGKV1D-33	11	1
IGKV1D-33	7	1
IGKV1-33	7	1
IGKV1D-33	10	1
IGKV1-33	14	1
